last_name,first_name,employer,billed_amount,payment_amount,invoice_date,last_payment_date,city,state,zip_code
Pfannerstill,Sister,ABC Telecom,847.6,715.8,"Mon, 14 Mar 2011 00:00:00 +0000","Thu, 19 Aug 2010 00:00:00 +0000",Hollywood,FL,33021
Fritsch,Jayce,Bluth Company,453.3,635.9,"Sat, 8 Jan 2011 00:00:00 +0000","Thu, 12 Aug 2010 00:00:00 +0000",Miai,FL,33173
O'Connell,Rita,Bluth Company,370.9,354.1,"Thu, 1 Mar 2012 00:00:00 +0000","Wed, 15 Feb 2012 00:00:00 +0000",Pensacola,FL,32503
Bailey,Kraig,"Acme, inc.",210.7,979.0,"Tue, 25 May 2010 00:00:00 +0000","Fri, 1 Jan 2010 00:00:00 +0000",Davie,FL,33331
Fisher,Edwardo,Wentworth Industries,250.9,473.5,"Mon, 13 Feb 2012 00:00:00 +0000","Thu, 22 Apr 2010 00:00:00 +0000",Naples,FL,34110
Ruecker,Raphaelle,Mooby Corp,880.8,931.4,"Wed, 28 Dec 2011 00:00:00 +0000","Fri, 12 Mar 2010 00:00:00 +0000",Melbourne,FL,32940
Kessler,Foster,123 Warehousing,224.4,651.3,"Sat, 16 Jul 2011 00:00:00 +0000","Wed, 15 Jun 2011 00:00:00 +0000",Pensacola,FL,32504
Rutherford,Serenity,"Acme, inc.",56.7,522.8,"Sun, 11 Jul 2010 00:00:00 +0000","Fri, 19 Mar 2010 00:00:00 +0000",Fort Myers,FL,33907
Stamm,Kane,North Central Positronics,89.6,475.9,"Wed, 4 Jan 2012 00:00:00 +0000","Tue, 29 Mar 2011 00:00:00 +0000",Pembroke Pines,FL,33024
Nader,Reggie,Acme Corp,986.7,562.9,"Wed, 2 Mar 2011 00:00:00 +0000","Mon, 24 Jan 2011 00:00:00 +0000",Davie,FL,33331
Bednar,Birdie,LexCorp,832.6,457.6,"Wed, 29 Dec 2010 00:00:00 +0000","Tue, 28 Sep 2010 00:00:00 +0000",Ft Myers,FL,33901
Windler,Winfield,Foo Bars,549.3,78.2,"Mon, 12 Jul 2010 00:00:00 +0000","Sat, 20 Mar 2010 00:00:00 +0000",Hollywood,FL,33021
Swift,Randall,Acme Corp,285.8,946.8,"Sat, 27 Nov 2010 00:00:00 +0000","Sun, 16 May 2010 00:00:00 +0000",Palm Harbor,FL,34684
Jacobi,Fay,"Acme, inc.",590.1,901.2,"Sun, 4 Sep 2011 00:00:00 +0000","Tue, 31 Aug 2010 00:00:00 +0000",Boca Raton,FL,33486
Casper,Luz,North Central Positronics,705.5,130.4,"Thu, 23 Feb 2012 00:00:00 +0000","Thu, 30 Jun 2011 00:00:00 +0000",Ponte Vedra,FL,32082
Bauch,Iliana,QWERTY Logistics,991.6,662.7,"Sat, 18 Sep 2010 00:00:00 +0000","Sat, 3 Apr 2010 00:00:00 +0000",Pembroke Pines,FL,33028
Schulist,Clair,Globex Corporation,537.7,698.5,"Wed, 9 Jun 2010 00:00:00 +0000","Mon, 29 Mar 2010 00:00:00 +0000",West Palm Beach,FL,33401
Walker,Carlee,LexCorp,249.3,136.7,"Sat, 23 Apr 2011 00:00:00 +0000","Thu, 14 Oct 2010 00:00:00 +0000",Pensacola,FL,32503
Hartmann,Berniece,Globex Corporation,294.9,321.1,"Tue, 14 Jun 2011 00:00:00 +0000","Wed, 11 Aug 2010 00:00:00 +0000",Ft Myers,FL,33901
Predovic,Dulce,"Sample, inc",536.8,390.9,"Thu, 22 Jul 2010 00:00:00 +0000","Mon, 12 Apr 2010 00:00:00 +0000",Pensacola,FL,32504
Dietrich,Milford,Globex Corporation,944.4,89.4,"Sat, 31 Dec 2011 00:00:00 +0000","Tue, 13 Jul 2010 00:00:00 +0000",Fort Myers,FL,33907
Renner,Jessie,Wayne Enterprises,696.0,257.3,"Tue, 23 Feb 2010 00:00:00 +0000","Sat, 30 Jan 2010 00:00:00 +0000",Palm Harbor,FL,34684
Mante,Declan,Wayne Enterprises,356.9,123.6,"Fri, 4 Mar 2011 00:00:00 +0000","Thu, 30 Sep 2010 00:00:00 +0000",Pensacola,FL,32503
Stroman,Dannie,Mr. Sparkle,158.1,871.0,"Sun, 24 Jan 2010 00:00:00 +0000","Fri, 22 Jan 2010 00:00:00 +0000",Tampa,FL,33606
Ebert,Modesto,ZiffCorp,502.4,199.2,"Tue, 14 Feb 2012 00:00:00 +0000","Fri, 10 Feb 2012 00:00:00 +0000",Englewood,FL,34223
O'Conner,Dortha,123 Warehousing,107.8,808.4,"Sat, 14 Jan 2012 00:00:00 +0000","Sun, 13 Feb 2011 00:00:00 +0000",Naples,FL,34110
Stoltenberg,Nola,Mooby Corp,966.8,20.9,"Fri, 25 Mar 2011 00:00:00 +0000","Fri, 10 Sep 2010 00:00:00 +0000",Jacksonville,FL,32209
Yundt,Annetta,Strickland Propane,352.0,728.3,"Tue, 19 Jan 2010 00:00:00 +0000","Wed, 6 Jan 2010 00:00:00 +0000",Pembroke Pines,FL,33024
Cassin,Keagan,Strickland Propane,159.0,51.3,"Sun, 12 Jun 2011 00:00:00 +0000","Thu, 26 May 2011 00:00:00 +0000",Hollywood,FL,33021
Balistreri,Karolann,Acme Corp,134.4,563.3,"Wed, 23 Feb 2011 00:00:00 +0000","Sun, 29 Aug 2010 00:00:00 +0000",Miami,FL,33173
